epoch,train_loss,val_loss,train_cls_loss,train_contrastive_loss,train_consistent_acc,train_correct_acc,train_useful_acc,val_consistent_accuracy,val_consistent_balanced_accuracy,val_consistent_precision,val_consistent_recall,val_consistent_f1,val_consistent_auc,val_correct_accuracy,val_correct_balanced_accuracy,val_correct_precision,val_correct_recall,val_correct_f1,val_correct_auc,val_useful_accuracy,val_useful_balanced_accuracy,val_useful_precision,val_useful_recall,val_useful_f1,val_useful_auc,val_consistent_acc,val_correct_acc,val_useful_acc,val_bertscore,val_codebleu,val_bleu,val_rouge,val_ruby
1,0.7403713964401407,0.6827265438826188,0.6775721425705767,0.6279925365397271,0.6617021276595745,0.5404255319148936,0.5340425531914894,0.6956521739130435,0.5,0.6956521739130435,1.0,0.8205128205128205,0.5,0.48695652173913045,0.5,0.48695652173913045,1.0,0.6549707602339181,0.5,0.5130434782608696,0.5,0.0,0.0,0.0,0.5,0.6956521739130435,0.48695652173913045,0.5130434782608696,0.11408455996061118,0.11408455996061118,0.05880968326230187,0.09483933875285262,0.286362261154616
2,0.6591384946031773,0.6760227970455004,0.629439784871771,0.296987096014175,0.674468085106383,0.6702127659574468,0.676595744680851,0.6956521739130435,0.5,0.6956521739130435,1.0,0.8205128205128205,0.5,0.48695652173913045,0.5,0.48695652173913045,1.0,0.6549707602339181,0.5,0.5130434782608696,0.5,0.0,0.0,0.0,0.5,0.6956521739130435,0.48695652173913045,0.5130434782608696,0.11393952768555199,0.11393952768555199,0.058492866196062074,0.09481915591079522,0.28680226931517533
3,0.6698551763879492,0.6664139504018037,0.6288935965680061,0.4096157966142005,0.6829787234042554,0.6638297872340425,0.6617021276595745,0.6956521739130435,0.5,0.6956521739130435,1.0,0.8205128205128205,0.5,0.5565217391304348,0.5673426150121065,0.5238095238095238,0.9821428571428571,0.6832298136645963,0.5673426150121065,0.5130434782608696,0.5,0.0,0.0,0.0,0.5,0.6956521739130435,0.5565217391304348,0.5130434782608696,0.11378289880689292,0.11378289880689292,0.05808956276081389,0.09483377829034448,0.2875661143948693
4,0.6353864700236219,0.6554750618727311,0.5981681552339108,0.37218313914664247,0.7170212765957447,0.6829787234042554,0.7,0.6956521739130435,0.5,0.6956521739130435,1.0,0.8205128205128205,0.5,0.7304347826086957,0.7368341404358354,0.6470588235294118,0.9821428571428571,0.7801418439716312,0.7368341404358354,0.5130434782608696,0.5,0.0,0.0,0.0,0.5,0.6956521739130435,0.7304347826086957,0.5130434782608696,0.11360859080255611,0.11360859080255611,0.05763051972149618,0.09485345422431332,0.2884876826949637
5,0.5895877115269925,0.6438997569291488,0.5639525664613602,0.2563514308647272,0.7212765957446808,0.7425531914893617,0.774468085106383,0.6956521739130435,0.5,0.6956521739130435,1.0,0.8205128205128205,0.5,0.7565217391304347,0.7618038740920097,0.675,0.9642857142857143,0.7941176470588236,0.7618038740920097,0.5304347826086957,0.5178571428571429,1.0,0.03571428571428571,0.0689655172413793,0.5178571428571429,0.6956521739130435,0.7565217391304347,0.5304347826086957,0.11356639005341114,0.11356639005341114,0.05731161981216317,0.09497697268999578,0.2895637211802803
6,0.5965847920864187,0.6327867222868878,0.5635184475716124,0.33066342299447415,0.725531914893617,0.7382978723404255,0.7446808510638298,0.6956521739130435,0.5,0.6956521739130435,1.0,0.8205128205128205,0.5,0.7739130434782608,0.7787530266343825,0.6923076923076923,0.9642857142857143,0.8059701492537313,0.7787530266343825,0.591304347826087,0.5803571428571429,1.0,0.16071428571428573,0.27692307692307694,0.5803571428571429,0.6956521739130435,0.7739130434782608,0.591304347826087,0.11356371968355788,0.11356371968355788,0.057018402503981776,0.095131365163769,0.2907307851412609
7,0.5766625451280716,0.6227270836415498,0.5500972169510862,0.2656532935639645,0.7191489361702128,0.7638297872340426,0.7851063829787234,0.6956521739130435,0.5,0.6956521739130435,1.0,0.8205128205128205,0.5,0.7739130434782608,0.7782990314769975,0.6973684210526315,0.9464285714285714,0.8030303030303029,0.7782990314769975,0.6782608695652174,0.6705508474576272,0.9130434782608695,0.375,0.5316455696202531,0.6705508474576272,0.6956521739130435,0.7739130434782608,0.6782608695652174,0.1135446384440904,0.1135446384440904,0.056701482944521396,0.09526546137562122,0.2918199871195811
8,0.5722825210145179,0.6132813484772391,0.5474696702145515,0.24812851132072034,0.7595744680851064,0.7829787234042553,0.7914893617021277,0.6956521739130435,0.5,0.6956521739130435,1.0,0.8205128205128205,0.5,0.7739130434782608,0.7769370460048426,0.7142857142857143,0.8928571428571429,0.7936507936507937,0.7769370460048426,0.6956521739130435,0.6906779661016949,0.8,0.5,0.6153846153846154,0.6906779661016949,0.6956521739130435,0.7739130434782608,0.6956521739130435,0.11356607814366276,0.11356607814366276,0.056400838781425516,0.0954236410533036,0.29292681150216976
9,0.5617940522254782,0.6035555093184761,0.5289610418867557,0.328330101270942,0.7489361702127659,0.8063829787234043,0.8191489361702128,0.6956521739130435,0.5,0.6956521739130435,1.0,0.8205128205128205,0.5,0.782608695652174,0.785411622276029,0.7246376811594203,0.8928571428571429,0.8,0.785411622276029,0.7217391304347827,0.7188256658595642,0.7727272727272727,0.6071428571428571,0.68,0.7188256658595642,0.6956521739130435,0.782608695652174,0.7217391304347827,0.11359654338213575,0.11359654338213575,0.056097861958878774,0.09558977433689193,0.29403646795284055
10,0.558102794910999,0.5941177596216617,0.530606365711131,0.2749642677605152,0.7617021276595745,0.7680851063829788,0.7914893617021277,0.6956521739130435,0.5,0.6956521739130435,1.0,0.8205128205128205,0.5,0.782608695652174,0.785411622276029,0.7246376811594203,0.8928571428571429,0.8,0.785411622276029,0.7478260869565218,0.7469733656174334,0.7547169811320755,0.7142857142857143,0.7339449541284405,0.7469733656174334,0.6956521739130435,0.782608695652174,0.7478260869565218,0.11367908876480955,0.11367908876480955,0.055797302348018725,0.0957974183289049,0.29521616332784273
11,0.534601780074708,0.5853671032449473,0.5136623153027068,0.20939466118654038,0.7829787234042553,0.7893617021276595,0.8127659574468085,0.6956521739130435,0.5,0.6956521739130435,1.0,0.8205128205128205,0.5,0.782608695652174,0.785411622276029,0.7246376811594203,0.8928571428571429,0.8,0.785411622276029,0.7478260869565218,0.7474273607748183,0.7454545454545455,0.7321428571428571,0.7387387387387387,0.7474273607748183,0.6956521739130435,0.782608695652174,0.7478260869565218,0.11379385019094515,0.11379385019094515,0.05557591289040563,0.0960085848692938,0.29628428388434025
12,0.5234846675649603,0.5768781382104625,0.5039230123479316,0.19561655083869367,0.7851063829787234,0.7957446808510639,0.823404255319149,0.7043478260869566,0.5142857142857142,0.7017543859649122,1.0,0.8247422680412371,0.5142857142857142,0.7913043478260869,0.7938861985472155,0.7352941176470589,0.8928571428571429,0.806451612903226,0.7938861985472155,0.7565217391304347,0.7563559322033898,0.75,0.75,0.75,0.7563559322033898,0.7043478260869566,0.7913043478260869,0.7565217391304347,0.11386366333920389,0.11386366333920389,0.05528927782935738,0.0961849906936907,0.2972557762796839
13,0.4995656295025602,0.5687327654465385,0.48295162662546687,0.16614004734190221,0.7936170212765957,0.8361702127659575,0.8468085106382979,0.7043478260869566,0.5142857142857142,0.7017543859649122,1.0,0.8247422680412371,0.5142857142857142,0.7913043478260869,0.7938861985472155,0.7352941176470589,0.8928571428571429,0.806451612903226,0.7938861985472155,0.7652173913043478,0.7652845036319613,0.7543859649122807,0.7678571428571429,0.7610619469026548,0.7652845036319613,0.7043478260869566,0.7913043478260869,0.7652173913043478,0.11391545441143815,0.11391545441143815,0.0549571722847713,0.09634569852712667,0.29820686274143465
14,0.5209056770547907,0.5607191811437192,0.4987053008789712,0.22200376511095687,0.776595744680851,0.8106382978723404,0.8297872340425532,0.7130434782608696,0.5366071428571428,0.7117117117117117,0.9875,0.8272251308900522,0.5366071428571428,0.782608695652174,0.785411622276029,0.7246376811594203,0.8928571428571429,0.8,0.785411622276029,0.7565217391304347,0.7568099273607749,0.7413793103448276,0.7678571428571429,0.7543859649122806,0.7568099273607749,0.7130434782608696,0.782608695652174,0.7565217391304347,0.11400456400994649,0.11400456400994649,0.054651504429579355,0.0965218509738637,0.299110250605502
15,0.49392385698379354,0.5535934831785119,0.47672532479813756,0.17198535488482486,0.8021276595744681,0.8297872340425532,0.8446808510638298,0.7217391304347827,0.5589285714285714,0.7222222222222222,0.975,0.8297872340425532,0.5589285714285714,0.782608695652174,0.784957627118644,0.7313432835820896,0.875,0.7967479674796748,0.784957627118644,0.7565217391304347,0.7568099273607749,0.7413793103448276,0.7678571428571429,0.7543859649122806,0.7568099273607749,0.7217391304347827,0.782608695652174,0.7565217391304347,0.11414038686097445,0.11414038686097445,0.05442421289030092,0.09672840942856877,0.3000108719125261
16,0.461661555792423,0.5464616728865582,0.4473166595114038,0.14344895010457395,0.8085106382978723,0.851063829787234,0.8659574468085106,0.7391304347826086,0.6035714285714285,0.7450980392156863,0.95,0.8351648351648352,0.6035714285714285,0.782608695652174,0.784957627118644,0.7313432835820896,0.875,0.7967479674796748,0.784957627118644,0.7565217391304347,0.7568099273607749,0.7413793103448276,0.7678571428571429,0.7543859649122806,0.7568099273607749,0.7391304347826086,0.782608695652174,0.7565217391304347,0.11427567753908506,0.11427567753908506,0.05418460040353983,0.09693087930124511,0.3008650618465602
17,0.443630624831991,0.539361924710481,0.43067199346867013,0.1295863190546949,0.8425531914893617,0.8659574468085106,0.874468085106383,0.7391304347826086,0.6116071428571428,0.75,0.9375,0.8333333333333334,0.6116071428571428,0.782608695652174,0.784957627118644,0.7313432835820896,0.875,0.7967479674796748,0.784957627118644,0.7565217391304347,0.7568099273607749,0.7413793103448276,0.7678571428571429,0.7543859649122806,0.7568099273607749,0.7391304347826086,0.782608695652174,0.7565217391304347,0.1143859733111989,0.1143859733111989,0.05390177306273585,0.09711828510963234,0.3016761917751272
18,0.44191190143848985,0.5325527647267218,0.42872415527384333,0.13187748104175354,0.8085106382978723,0.8680851063829788,0.8829787234042553,0.8,0.7116071428571429,0.8064516129032258,0.9375,0.8670520231213872,0.7116071428571429,0.782608695652174,0.784957627118644,0.7313432835820896,0.875,0.7967479674796748,0.784957627118644,0.7739130434782608,0.7746670702179177,0.75,0.8035714285714286,0.7758620689655172,0.7746670702179177,0.8,0.782608695652174,0.7739130434782608,0.11448033378957931,0.11448033378957931,0.05360278708903429,0.09728670486494184,0.30241870235898743
19,0.4041116696722964,0.5259573444076207,0.39433875781424504,0.09772912348680039,0.8638297872340426,0.8765957446808511,0.8936170212765957,0.808695652173913,0.7258928571428571,0.8152173913043478,0.9375,0.872093023255814,0.7258928571428571,0.782608695652174,0.784957627118644,0.7313432835820896,0.875,0.7967479674796748,0.784957627118644,0.782608695652174,0.7835956416464891,0.7540983606557377,0.8214285714285714,0.7863247863247863,0.7835956416464891,0.808695652173913,0.782608695652174,0.782608695652174,0.1145910865677049,0.1145910865677049,0.05331587779490587,0.09746788565169234,0.30314819445183
20,0.40992370856569166,0.519469522393268,0.4020486888099224,0.07875021310087214,0.8680851063829788,0.8680851063829788,0.9,0.8,0.7196428571428571,0.8131868131868132,0.925,0.8654970760233918,0.7196428571428571,0.7913043478260869,0.7938861985472155,0.7352941176470589,0.8928571428571429,0.806451612903226,0.7938861985472155,0.7913043478260869,0.7925242130750605,0.7580645161290323,0.8392857142857143,0.7966101694915255,0.7925242130750605,0.8,0.7913043478260869,0.7913043478260869,0.11471499171279484,0.11471499171279484,0.05303798427620766,0.09765576847600074,0.3038794777669372
21,0.38839515878799113,0.5137282122736392,0.3802392340720968,0.0815592486569856,0.8468085106382979,0.9085106382978724,0.902127659574468,0.8,0.7196428571428571,0.8131868131868132,0.925,0.8654970760233918,0.7196428571428571,0.7913043478260869,0.7938861985472155,0.7352941176470589,0.8928571428571429,0.806451612903226,0.7938861985472155,0.8,0.8014527845036319,0.7619047619047619,0.8571428571428571,0.8067226890756302,0.8014527845036319,0.8,0.7913043478260869,0.8,0.11482971839701016,0.11482971839701016,0.05278890644121679,0.0978258418562339,0.3045127286706674
22,0.38468346297740935,0.5083761660949043,0.3759502341138556,0.08733227956009672,0.8702127659574468,0.9063829787234042,0.9063829787234042,0.808695652173913,0.7339285714285715,0.8222222222222222,0.925,0.8705882352941177,0.7339285714285715,0.7913043478260869,0.7938861985472155,0.7352941176470589,0.8928571428571429,0.806451612903226,0.7938861985472155,0.8,0.8014527845036319,0.7619047619047619,0.8571428571428571,0.8067226890756302,0.8014527845036319,0.808695652173913,0.7913043478260869,0.8,0.11489647250758327,0.11489647250758327,0.05251046052542806,0.09794958149257933,0.3050356088041404
23,0.3648618609981334,0.5039691572603973,0.35840574515626783,0.06456116707401073,0.8808510638297873,0.9148936170212766,0.9191489361702128,0.808695652173913,0.7339285714285715,0.8222222222222222,0.925,0.8705882352941177,0.7339285714285715,0.7913043478260869,0.7938861985472155,0.7352941176470589,0.8928571428571429,0.806451612903226,0.7938861985472155,0.8,0.8014527845036319,0.7619047619047619,0.8571428571428571,0.8067226890756302,0.8014527845036319,0.808695652173913,0.7913043478260869,0.8,0.11495092597748342,0.11495092597748342,0.0522827497416048,0.0980489377056402,0.30542992274183073
24,0.3524340766541501,0.5000661373138428,0.34574975624997567,0.06684319949213495,0.902127659574468,0.9191489361702128,0.9319148936170213,0.8,0.7276785714285714,0.8202247191011236,0.9125,0.863905325443787,0.7276785714285714,0.7913043478260869,0.7938861985472155,0.7352941176470589,0.8928571428571429,0.806451612903226,0.7938861985472155,0.8,0.8014527845036319,0.7619047619047619,0.8571428571428571,0.8067226890756302,0.8014527845036319,0.8,0.7913043478260869,0.8,0.11503750251412388,0.11503750251412388,0.052093152972354395,0.09817162459475426,0.3058263965106946
25,0.3549250513949293,0.49660783487817517,0.3460428975998087,0.08882154252459394,0.8936170212765957,0.9234042553191489,0.9361702127659575,0.8,0.7276785714285714,0.8202247191011236,0.9125,0.863905325443787,0.7276785714285714,0.7913043478260869,0.7938861985472155,0.7352941176470589,0.8928571428571429,0.806451612903226,0.7938861985472155,0.7913043478260869,0.7934322033898304,0.7424242424242424,0.875,0.8032786885245902,0.7934322033898304,0.8,0.7913043478260869,0.7913043478260869,0.11513184754803893,0.11513184754803893,0.05192855870123621,0.0982942744793256,0.30620568802265186
26,0.33792030177217847,0.49357378534648727,0.33263537921804065,0.052849232865140795,0.9042553191489362,0.9425531914893617,0.9234042553191489,0.8,0.7276785714285714,0.8202247191011236,0.9125,0.863905325443787,0.7276785714285714,0.7913043478260869,0.7938861985472155,0.7352941176470589,0.8928571428571429,0.806451612903226,0.7938861985472155,0.7913043478260869,0.7934322033898304,0.7424242424242424,0.875,0.8032786885245902,0.7934322033898304,0.8,0.7913043478260869,0.7913043478260869,0.11522471605109258,0.11522471605109258,0.05177875221277796,0.0984097782445913,0.30654339298771843
