epoch,train_loss,val_loss,reward,gradient_norm,bertscore,codebleu,bleu,rouge,ruby,learning_rate,epoch_time
1,7.374981371388919,,0.2015932370308157,58.601560369201735,0.7759565711021423,0.04760347592526316,0.0027762799753521757,0.0990099041853178,0.08261995396600316,1e-06,59.286128997802734
2,4.389186365880828,,0.2233130626446515,17.01363181045039,0.7546088695526123,0.002805049088359046,0.00019993113292069063,0.07217846208253885,0.2867730013668267,8.888888888888888e-07,58.81950640678406
3,3.7190470134002576,,0.22757284644135217,14.586590072847274,0.7501746416091919,0.0035842293906810036,0.00026020084404094584,0.05253547889469017,0.3313096814681568,7.777777777777778e-07,54.06916642189026
4,3.3181642082290375,,0.2021467281863098,15.218653852655928,0.7695176005363464,0.038173728385074324,0.0026174696568426374,0.05763983045997796,0.14278501189330778,6.666666666666666e-07,54.819422245025635
5,2.9774170310600945,,0.19942884294308078,16.337439175708084,0.7575696706771851,0.006243496357960458,7.304275330087926e-05,0.03164144677352781,0.2016165581534296,5.555555555555555e-07,55.2038037776947
6,2.7350511512030726,,0.2144873052207879,16.534301279778333,0.7588822841644287,0.026321948134092346,0.001769133245531048,0.0569221433823031,0.22854101717758424,4.444444444444444e-07,56.34543561935425
7,2.598401804117189,,0.23102035497817006,16.474579436599083,0.763231635093689,0.046016349777646536,0.002202317976026585,0.07391954752179562,0.2697319245216927,3.333333333333333e-07,56.85899496078491
8,2.5026651370352595,,0.24289025088691168,16.40169428377709,0.7778176069259644,0.01882371319222057,0.0011174464471187787,0.08604966968255982,0.3306428181866951,2.222222222222222e-07,55.34230279922485
9,2.4319110858267634,,0.23237604024888103,16.287898540630824,0.7769386172294617,0.018810467027784515,0.0031110771380522735,0.06791764046241411,0.29510239938669247,1.111111111111111e-07,36.94524645805359
10,2.411477004920227,,0.24540977943122932,16.353244595290942,0.7785763740539551,0.016506319562346727,0.0030195722987708612,0.08785777868442711,0.3410888525566468,0.0,39.120532512664795
