epoch,train_loss,val_loss,train_consistent_acc,train_correct_acc,train_useful_acc,val_consistent_acc,val_correct_acc,val_useful_acc,val_consistent_f1,val_correct_f1,val_useful_f1,val_bertscore,val_codebleu,val_bleu,val_rouge,val_ruby
1,0.7304285112847673,0.6698923256086267,0.474468085106383,0.4978723404255319,0.4702127659574468,0.6869565217391305,0.591304347826087,0.43478260869565216,0.8064516129032258,0.5346534653465347,0.38095238095238093,0.11439277928457274,0.11439277928457274,0.1444925207817609,0.14143258933090444,0.33358039380576365
2,0.6889795693945377,0.6432896183884662,0.6021276595744681,0.5468085106382978,0.4787234042553192,0.6956521739130435,0.6347826086956522,0.5478260869565217,0.8205128205128205,0.611111111111111,0.4222222222222223,0.11483159983945371,0.11483159983945371,0.14431134554299613,0.14273620720513794,0.33619066942632375
3,0.6772541725889165,0.6295955512834632,0.6212765957446809,0.5553191489361702,0.5425531914893617,0.6956521739130435,0.6782608695652174,0.6608695652173913,0.8205128205128205,0.6725663716814159,0.6422018348623852,0.11528113340508267,0.11528113340508267,0.14450892629270753,0.14341091153714144,0.33785107874600195
4,0.6523158321989343,0.617241602876912,0.6446808510638298,0.5787234042553191,0.5957446808510638,0.6956521739130435,0.6695652173913044,0.6869565217391305,0.8205128205128205,0.6935483870967742,0.6842105263157895,0.11561569332692155,0.11561569332692155,0.14415448089111177,0.14458617226622697,0.3397241297420812
5,0.6348289951365045,0.603670622991479,0.6595744680851063,0.6382978723404256,0.597872340425532,0.6956521739130435,0.7043478260869566,0.7043478260869566,0.8205128205128205,0.7424242424242424,0.6964285714285714,0.11616403592666444,0.11616403592666444,0.1443597778968875,0.1457283618181764,0.34194345834256
6,0.6289464103414657,0.5908397011134936,0.6638297872340425,0.6319148936170212,0.625531914893617,0.7130434782608696,0.7217391304347827,0.6956521739130435,0.8290155440414507,0.75,0.6902654867256636,0.11643054970177631,0.11643054970177631,0.1439878746916834,0.1469535349090223,0.3438061877894971
7,0.6257091060597846,0.579999013569044,0.674468085106383,0.6595744680851063,0.676595744680851,0.7217391304347827,0.7217391304347827,0.7565217391304347,0.8333333333333333,0.7538461538461538,0.7704918032786886,0.11649270325709989,0.11649270325709989,0.1434762727346375,0.1476677896415286,0.34493716675093034
8,0.6171313955428752,0.5673789278320645,0.6787234042553192,0.6808510638297872,0.6680851063829787,0.7217391304347827,0.7304347826086957,0.7304347826086957,0.8333333333333333,0.7559055118110235,0.7394957983193275,0.11689514009785114,0.11689514009785114,0.1433043317530438,0.14891338315662248,0.3470344517673311
9,0.5956942165151555,0.5578221911969392,0.7212765957446808,0.6553191489361702,0.7212765957446808,0.7478260869565218,0.7391304347826086,0.7565217391304347,0.8465608465608466,0.765625,0.7704918032786886,0.11705471682903876,0.11705471682903876,0.1428274028445259,0.14995734011376113,0.34846411434088076
10,0.5794051809513823,0.5472299295922984,0.7042553191489361,0.7085106382978723,0.725531914893617,0.7565217391304347,0.7478260869565218,0.7391304347826086,0.8494623655913979,0.7679999999999999,0.75,0.11748541866935537,0.11748541866935537,0.14255483806221486,0.15131864057891295,0.35081823188181405
11,0.5853657263390561,0.5402494285417639,0.7127659574468085,0.7042553191489361,0.7276595744680852,0.7391304347826086,0.7391304347826086,0.7478260869565218,0.8369565217391305,0.7619047619047619,0.7603305785123968,0.11776348411381264,0.11776348411381264,0.14239131563068383,0.15233465376925248,0.35204626490651447
12,0.5635637531889246,0.5314112103503683,0.7,0.7212765957446808,0.7148936170212766,0.7391304347826086,0.7478260869565218,0.7304347826086957,0.8369565217391305,0.7642276422764228,0.7350427350427351,0.1182249902166684,0.1182249902166684,0.1421782260334487,0.15361688926764272,0.35423606824301745
13,0.5545860244872722,0.5259252672610075,0.7319148936170212,0.7276595744680852,0.7510638297872341,0.7391304347826086,0.7565217391304347,0.7565217391304347,0.8369565217391305,0.7777777777777777,0.7741935483870968,0.11804795495703833,0.11804795495703833,0.14162872852978167,0.15366873018273605,0.3544845553434855
14,0.5517167367833726,0.5187319553416708,0.725531914893617,0.7446808510638298,0.7680851063829788,0.7478260869565218,0.7478260869565218,0.7478260869565218,0.8415300546448088,0.7679999999999999,0.7642276422764228,0.11832302238448125,0.11832302238448125,0.1414847110838163,0.15428448322983546,0.3556322057476522
15,0.5445052630089698,0.5137701931207076,0.7425531914893617,0.7489361702127659,0.7595744680851064,0.7652173913043478,0.7478260869565218,0.7652173913043478,0.8508287292817679,0.7751937984496124,0.7839999999999999,0.11810209945852743,0.11810209945852743,0.14072256419894638,0.15453016304330236,0.3561745088503896
