epoch,train_loss,val_loss,train_cls_loss,train_contrastive_loss,train_consistent_acc,train_correct_acc,train_useful_acc,val_consistent_accuracy,val_consistent_balanced_accuracy,val_consistent_precision,val_consistent_recall,val_consistent_f1,val_consistent_auc,val_correct_accuracy,val_correct_balanced_accuracy,val_correct_precision,val_correct_recall,val_correct_f1,val_correct_auc,val_useful_accuracy,val_useful_balanced_accuracy,val_useful_precision,val_useful_recall,val_useful_f1,val_useful_auc,val_consistent_acc,val_correct_acc,val_useful_acc,val_bertscore,val_bleu,val_codebleu,val_rouge,val_ruby
1,0.7447458067510881,0.691763112687657,0.6735693109341157,0.7117649482356178,0.6517094017094017,0.5790598290598291,0.5277777777777778,0.5299145299145299,0.5299145299145299,0.7948717948717948,0.3974358974358974,0.5299145299145299,0.6554898093359631,0.5299145299145299,0.5299145299145299,0.0,0.0,0.0,0.5431085043988271,0.49572649572649574,0.49572649572649574,0.46875,0.5454545454545454,0.5042016806722689,0.46304985337243404,0.5299145299145299,0.5299145299145299,0.49572649572649574,0.570153589225506,0.5068031904226717,0.5384783898240886,0.5068031904226717,0.5384783898240886
2,0.6500232184035146,0.6842106504318042,0.6262026008887168,0.23820616327958483,0.6965811965811965,0.6538461538461539,0.6602564102564102,0.6752136752136753,0.6752136752136753,0.7325581395348837,0.8076923076923077,0.7682926829268293,0.7186061801446417,0.5299145299145299,0.5299145299145299,0.0,0.0,0.0,0.6765395894428153,0.5470085470085471,0.5470085470085471,0.5217391304347826,0.43636363636363634,0.4752475247524752,0.5686217008797654,0.6752136752136753,0.5299145299145299,0.5470085470085471,0.5713997261048194,0.5079108676487283,0.539655296876774,0.5079108676487283,0.539655296876774
3,0.6276931935905391,0.6742374728887509,0.5919096709316612,0.35783524378242654,0.7094017094017094,0.7008547008547008,0.7136752136752137,0.7264957264957265,0.7264957264957265,0.7169811320754716,0.9743589743589743,0.8260869565217391,0.7744904667981591,0.5555555555555556,0.5555555555555556,1.0,0.05454545454545454,0.10344827586206896,0.7454545454545455,0.5470085470085471,0.5470085470085471,0.5357142857142857,0.2727272727272727,0.3614457831325301,0.6665689149560118,0.7264957264957265,0.5555555555555556,0.5470085470085471,0.5735249704351264,0.5097999737201124,0.5416624720776194,0.5097999737201124,0.5416624720776194
4,0.6472756169800066,0.6637084524855654,0.6029013759560056,0.443742408679846,0.6730769230769231,0.7029914529914529,0.7222222222222222,0.7094017094017094,0.7094017094017094,0.7,0.9871794871794872,0.8191489361702128,0.8014464168310321,0.5811965811965812,0.5811965811965812,0.875,0.12727272727272726,0.2222222222222222,0.7560117302052787,0.5726495726495726,0.5726495726495726,0.6086956521739131,0.2545454545454545,0.358974358974359,0.7164222873900292,0.7094017094017094,0.5811965811965812,0.5726495726495726,0.5761678313657579,0.5121491834362292,0.5441585074009938,0.5121491834362292,0.5441585074009938
5,0.6257184606332046,0.6524695295553941,0.5882827985999931,0.37435661459293884,0.7008547008547008,0.7286324786324786,0.7542735042735043,0.6837606837606838,0.6837606837606838,0.6814159292035398,0.9871794871794872,0.806282722513089,0.8152531229454307,0.6239316239316239,0.6239316239316239,0.6896551724137931,0.36363636363636365,0.47619047619047616,0.7607038123167155,0.6581196581196581,0.6581196581196581,0.7142857142857143,0.45454545454545453,0.5555555555555556,0.7527859237536657,0.6837606837606838,0.6239316239316239,0.6581196581196581,0.579478039033977,0.515091590252424,0.5472848146432006,0.515091590252424,0.5472848146432006
6,0.6135365379671766,0.6409862153550498,0.5711602624664959,0.4237627661548173,0.7350427350427351,0.7606837606837606,0.7713675213675214,0.7008547008547008,0.7008547008547008,0.6936936936936937,0.9871794871794872,0.8148148148148148,0.8264299802761341,0.6495726495726496,0.6495726495726496,0.6842105263157895,0.4727272727272727,0.5591397849462365,0.7642228739002933,0.6410256410256411,0.6410256410256411,0.6382978723404256,0.5454545454545454,0.5882352941176471,0.7777126099706745,0.7008547008547008,0.6495726495726496,0.6410256410256411,0.5830138129618997,0.5182345004105777,0.5506241566862388,0.5182345004105777,0.5506241566862388
7,0.6014364015342842,0.6306633801541777,0.569257246887582,0.32179155913539803,0.7371794871794872,0.7457264957264957,0.7777777777777778,0.717948717948718,0.717948717948718,0.7064220183486238,0.9871794871794872,0.8235294117647058,0.8307034845496385,0.6410256410256411,0.6410256410256411,0.6511627906976745,0.509090909090909,0.5714285714285714,0.7671554252199413,0.6923076923076923,0.6923076923076923,0.6792452830188679,0.6545454545454545,0.6666666666666666,0.7950146627565983,0.717948717948718,0.6410256410256411,0.6923076923076923,0.5864928253999392,0.5213269559110569,0.5539098906554982,0.5213269559110569,0.5539098906554982
8,0.5904982800667102,0.6207345836182945,0.5493815357868488,0.4111674357415575,0.7329059829059829,0.7670940170940171,0.7970085470085471,0.7094017094017094,0.7094017094017094,0.7037037037037037,0.9743589743589743,0.8172043010752689,0.8359631821170284,0.6923076923076923,0.6923076923076923,0.6792452830188679,0.6545454545454545,0.6666666666666666,0.7724340175953078,0.717948717948718,0.717948717948718,0.6896551724137931,0.7272727272727273,0.7079646017699115,0.8023460410557184,0.7094017094017094,0.6923076923076923,0.717948717948718,0.5899041307406501,0.5243592273250223,0.5571316790328362,0.5243592273250223,0.5571316790328362
9,0.5763765285667192,0.6117149866544284,0.5468463925724356,0.29530137137740725,0.7585470085470085,0.7606837606837606,0.7863247863247863,0.7264957264957265,0.7264957264957265,0.7169811320754716,0.9743589743589743,0.8260869565217391,0.8418803418803419,0.7094017094017094,0.7094017094017094,0.6842105263157895,0.7090909090909091,0.6964285714285714,0.775366568914956,0.7521367521367521,0.7521367521367521,0.703125,0.8181818181818182,0.7563025210084033,0.8090909090909091,0.7264957264957265,0.7094017094017094,0.7521367521367521,0.5930743525652219,0.5271772022801973,0.5601257774227094,0.5271772022801973,0.5601257774227094
10,0.5683151669481881,0.6038320263226827,0.5329559672082591,0.3535919946610418,0.7735042735042735,0.7713675213675214,0.7970085470085471,0.7435897435897436,0.7435897435897436,0.7307692307692307,0.9743589743589743,0.8351648351648352,0.8422090729783038,0.7350427350427351,0.7350427350427351,0.6935483870967742,0.7818181818181819,0.7350427350427351,0.7780058651026392,0.7521367521367521,0.7521367521367521,0.703125,0.8181818181818182,0.7563025210084033,0.81524926686217,0.7435897435897436,0.7350427350427351,0.7521367521367521,0.5957050961510322,0.5295156410231394,0.5626103685870859,0.5295156410231394,0.5626103685870859
