epoch,train_loss,val_loss,reward,gradient_norm,bertscore,codebleu,bleu,rouge,ruby,learning_rate,epoch_time
1,7.637792110443115,,0.24969747317637708,48.666389397177184,0.8066989779472351,0.23240912476856518,0.025535498839320506,0.1139261150969385,0.06991764922982606,2e-05,1.3562092781066895
2,6.469809532165527,,0.24596480080580796,49.175800570889365,0.8024900555610657,0.23036876835811304,0.023064839126544213,0.10987283445919906,0.06402750652411776,1.7777777777777777e-05,0.713047981262207
3,4.349874019622803,,0.2739308629887216,25.716387433946615,0.8082643151283264,0.2856102602667543,0.048720820252908296,0.1341011674151637,0.09295775188045509,1.555555555555556e-05,0.6904299259185791
4,3.8634907007217407,,0.2721648734774639,5.824336263949321,0.8054987192153931,0.2831451622850605,0.049668459814525584,0.13232628324165885,0.09018574283068143,1.3333333333333333e-05,0.6900484561920166
5,3.6068193912506104,,0.2728855471621864,5.3705179089522534,0.8058071136474609,0.2882041676806964,0.0495114144760972,0.13230612951688678,0.08859891048979057,1.1111111111111113e-05,0.6919972896575928
6,3.482756733894348,,0.27894836148226076,4.94169593209082,0.8077552914619446,0.30372456125893316,0.050705279564385225,0.13975105000093296,0.09280562512510797,8.888888888888888e-06,0.6934843063354492
7,3.166122317314148,,0.28064662494939824,4.442100884645459,0.8084391951560974,0.3054920062882866,0.0409102543622703,0.14060914997810323,0.10778251896223345,6.666666666666667e-06,0.7037014961242676
8,3.217583656311035,,0.2742413431493416,4.546643188177162,0.8096835613250732,0.2758774862228949,0.04068894168715784,0.13653057979983432,0.10842614671174776,4.444444444444444e-06,0.6872460842132568
9,3.1803618669509888,,0.30248821696989703,4.862724885415313,0.8172968029975891,0.29135137403720823,0.08665784209031532,0.17231340336520973,0.14482166235916288,2.222222222222222e-06,0.7033047676086426
10,2.915276288986206,,0.30216618523247096,4.446395646194619,0.8161518573760986,0.29053035597481086,0.0866353036612894,0.1696796025105172,0.1478338066396386,0.0,0.7061271667480469
