epoch,train_loss,val_loss,reward,gradient_norm,bertscore,codebleu,bleu,rouge,ruby,learning_rate,epoch_time,entropy,kl_divergence,balanced_accuracy
1,7.826359510421753,,0.22328653542272575,54.99681435042491,0.7952937483787537,0.15776353276353275,0.0036928562888027382,0.07361111111111111,0.08607142857142858,6.666666666666667e-06,56.738712787628174,3.5081629753112793,7.311635308899007,1.0
2,7.40933084487915,,0.2326758944942237,48.47208443200112,0.8024184703826904,0.18237749945067017,0.004144772865930109,0.09543592078306395,0.07900280898876405,1.3333333333333333e-05,16.030856609344482,3.624140501022339,7.195657783187947,1.0
3,5.318329334259033,,0.2251544726966847,38.49950094849599,0.8003544211387634,0.1611125158027813,0.00396758870404098,0.09125,0.06908783783783784,2e-05,21.012113571166992,3.8486980199813843,6.971100264228902,1.0
4,4.326995015144348,,0.22706353820195885,27.59940058770512,0.8036032319068909,0.15969201539923,0.003929258153591195,0.09036330049261083,0.07772988505747125,1.925925925925926e-05,25.512682914733887,4.089330315589905,6.730467968620381,1.0
5,3.7680442333221436,,0.2247151736486198,5.792044143509427,0.7996264100074768,0.15496344747979993,0.003803457801530256,0.0892210144927536,0.07596153846153841,1.851851851851852e-05,19.08751153945923,3.4956531524658203,7.324145131744466,1.0
6,3.489681839942932,,0.2254913350795787,4.821538658550614,0.8002142906188965,0.1576204523107178,0.0038738086408870763,0.08978658536585366,0.07596153846153841,1.7777777777777777e-05,18.975955486297607,3.497934937477112,7.321863346733174,1.0
7,3.25335156917572,,0.22435548388848972,5.081306664779364,0.7990554571151733,0.15496344747979993,0.003803457801530256,0.0892210144927536,0.0747340425531915,1.7037037037037038e-05,15.56768536567688,3.51350200176239,7.306296282447896,1.0
8,3.0806154012680054,,0.22915805651883714,4.542125967772997,0.8019732236862183,0.16635061104087653,0.004111142861048075,0.09155150753768843,0.08180379746835442,1.6296296296296297e-05,14.484710454940796,3.454860806465149,7.364937477745137,1.0
9,2.829018235206604,,0.22437815749536227,4.599203400950501,0.7991688251495361,0.15496344747979993,0.003803457801530256,0.0892210144927536,0.0747340425531915,1.555555555555556e-05,19.45325517654419,3.210746169090271,7.609052115120015,1.0
10,2.678259253501892,,0.22293221954884174,4.394179976023398,0.7959411144256592,0.1565934065934066,0.0038111596190643924,0.08983137455288709,0.06848404255319152,1.4814814814814815e-05,18.530744075775146,3.024240016937256,7.79555826727303,1.0
11,2.5228071212768555,,0.2136302199445473,4.36591172818481,0.7760838866233826,0.19597989949748748,0.002280391926092327,0.05555555555555556,0.038251366120218566,1.4074074074074075e-05,12.528480768203735,2.8680983781814575,7.9516999060288285,1.0
12,2.3076902627944946,,0.21507991625108072,4.463168248748695,0.7740373015403748,0.21256038647342992,0.0022451861915332373,0.05429864253393666,0.03225806451612906,1.3333333333333333e-05,25.444467782974243,2.602569818496704,8.217228465713582,1.0
13,2.240034818649292,,0.21507991625108072,4.855584730202535,0.7740373015403748,0.21256038647342992,0.0022451861915332373,0.05429864253393666,0.03225806451612906,1.2592592592592593e-05,15.249592542648315,2.552608847618103,8.267189436592183,1.0
14,1.9612025618553162,,0.20920419165845053,4.356199840946028,0.7731665372848511,0.18316831683168316,0.002238290371063564,0.05429864253393666,0.03314917127071826,1.1851851851851852e-05,16.608951807022095,2.185128092765808,8.634670191444478,1.0
15,1.6611164212226868,,0.21292150900949025,4.9770578736227495,0.7790209054946899,0.1902439024390244,0.002553139004989861,0.05555555555555556,0.037234042553191515,1.1111111111111113e-05,14.899637937545776,1.8266822695732117,8.993116014637074,1.0
16,1.7664003372192383,,0.21554135954911305,4.688384006071148,0.7777420282363892,0.20487804878048782,0.002553139004989861,0.0552995391705069,0.037234042553191515,1.037037037037037e-05,19.518917560577393,1.893206775188446,8.92659150902184,1.0
17,1.4884640574455261,,0.21941449289400666,4.590797835007841,0.7780553102493286,0.2171504965622613,0.002568661616879984,0.05581395348837209,0.04348404255319149,9.62962962962963e-06,15.704421043395996,1.7862180471420288,9.033580237068257,1.0
18,1.360067069530487,,0.20917658160201155,4.694188824642215,0.7738361358642578,0.1585707110568989,0.002523310423417417,0.061224489795918366,0.04972826086956522,8.888888888888888e-06,21.134864807128906,1.6985809803009033,9.121217303909383,1.0
19,1.3405488729476929,,0.20502958066273308,4.313854005272674,0.7657418251037598,0.14593001841620626,0.002523309128215819,0.061224489795918366,0.04972826086956522,8.148148148148148e-06,22.287951707839966,1.6120260953903198,9.207772188819966,1.0
20,1.1728750467300415,,0.21058309607107567,4.07722701291239,0.7856651544570923,0.14920289855072463,0.0025171243172584907,0.0606060606060606,0.05492424242424243,7.4074074074074075e-06,17.185319662094116,1.4944778084754944,9.325320475734792,1.0
21,1.2733554244041443,,0.22206894556488893,4.4740733385815,0.7891035079956055,0.21236245954692554,0.0022586713995363856,0.05936073059360731,0.04725935828877004,6.666666666666667e-06,15.535016298294067,1.5545481443405151,9.26525013986977,1.0
22,1.116862177848816,,0.23052591281849627,4.25434490412296,0.7885926961898804,0.24747967479674796,0.002307021520403313,0.06451612903225806,0.049734042553191526,5.925925925925926e-06,13.102312326431274,1.4097407460212708,9.410057538189015,1.0
