epoch,train_loss,val_loss,reward,gradient_norm,bertscore,codebleu,bleu,rouge,ruby,learning_rate,epoch_time,entropy,kl_from_uniform,balanced_accuracy
1,5.736638463061789,,0.08262772456253606,44.26209097764323,0.0,0.006503696826277472,0.0003280612157128337,0.07730179137521898,0.32900507339547097,6.666666666666667e-06,263.195946931839,2.9877109717631685,7.8320873124471175,0.5
2,2.405132472515106,,0.0850912983520364,5.807684385208003,0.0,0.009216589861751152,0.00048575413993831823,0.04994538845532554,0.365808759303167,1.3333333333333333e-05,261.35257148742676,2.3333169688349185,8.486481315375368,0.5
3,1.5800071436425913,,0.12360847500431178,4.709624111685305,0.0,0.034050179211469536,0.005906686735259608,0.1681933150623905,0.4098921940124392,2e-05,263.3752694129944,1.569985498552737,9.249812785657548,0.5
4,1.2984223590380903,,0.13353350976259423,4.152601266356507,0.0,0.07465037334581925,0.008108780037037683,0.1783275039873887,0.4065808914427256,1.925925925925926e-05,262.15361189842224,1.3044048832810444,9.515393400929241,0.5
5,1.0842171695785245,,0.17421825348428271,4.084134773667459,0.0,0.15961498049506465,0.026394668473842125,0.2785658315319214,0.40651578692058543,1.851851851851852e-05,262.68169951438904,1.112776011660479,9.707022272549807,0.5
6,0.9001262118850929,,0.1503117028302725,4.09666455594486,0.0,0.10938741434471984,0.019039767505564145,0.27714943578722095,0.3459818965138576,1.7777777777777777e-05,261.5262749195099,0.9593140824117522,9.860484201798533,0.5
7,0.7500533435655676,,0.15949627414904127,4.071105967540465,0.0,0.15461688999654827,0.029354415191600234,0.26488285508421444,0.34862721047284345,1.7037037037037038e-05,261.9640555381775,0.8463707656964011,9.973427518513885,0.5
8,0.619107554572216,,0.17037912001725636,3.913730286750368,0.0,0.13533971928936522,0.029760541220780302,0.29678003771495115,0.3900153018611852,1.6296296296296297e-05,262.58950209617615,0.7393312514692113,10.080467032741074,0.5
9,0.5102570974740429,,0.17742867558220085,3.7868545932588082,0.0,0.1514285714285714,0.034459394866899695,0.28744201891504084,0.41381339270049233,1.555555555555556e-05,262.13880228996277,0.6717368057672528,10.148061478443033,0.5
10,0.4236932526464048,,0.19166990394898759,3.689344810167284,0.0,0.16594286558652646,0.04219064294906301,0.3333815161710109,0.4168344950383374,1.4814814814814815e-05,262.3608648777008,0.5967894971802614,10.223008787030025,0.5
11,0.35297688841819763,,0.1994706176371826,3.378691684622184,0.0,0.18917129087163292,0.03855341682111573,0.3447034398733402,0.4249249406198242,1.4074074074074075e-05,260.8963985443115,0.5436849734489468,10.276113310761339,0.5
12,0.3029576684685721,,0.19118295573923066,3.3391910917046705,0.0,0.1874482419306125,0.04615248596856903,0.32842918484051276,0.39388486595645894,1.3333333333333333e-05,256.0285575389862,0.4932556428771088,10.326542641333177,0.5
13,0.2648849708662517,,0.190121877038654,3.2879981738770114,0.0,0.17201340794739145,0.03796742573786776,0.31370818231742137,0.42692036919058934,1.2592592592592593e-05,257.9694287776947,0.45229170719782513,10.367506577012461,0.5
14,0.23315223597961923,,0.20008281129643174,2.985488204147341,0.0,0.1987516379411609,0.046108156337591195,0.3386397122857903,0.41691454991761634,1.1851851851851852e-05,261.4253079891205,0.41461009391839954,10.405188190291886,0.5
15,0.20236795384814774,,0.19820694401201872,2.7122154532421447,0.0,0.22017390012949697,0.04637885591532218,0.3193114860732238,0.40517047794205063,1.1111111111111113e-05,265.36301350593567,0.38098989599856775,10.438808388211719,0.5
16,0.1830194345202999,,0.21283890105795403,2.7284674327455263,0.0,0.22864792663008895,0.0460057513734386,0.34135738021490514,0.44818344707133734,1.037037037037037e-05,260.12558698654175,0.3528382544932158,10.46696002971707,0.5
17,0.164346472400686,,0.2033856529415484,2.4159194810286513,0.0,0.18179227332282274,0.04334768508873696,0.34148743558798283,0.45030087070819946,9.62962962962963e-06,260.09134340286255,0.3196675874616789,10.500130696748608,0.5
18,0.14679410805304846,,0.1936765998805295,2.250115490083144,0.0,0.17082874812779847,0.0432341651310354,0.34080346163136366,0.4135166245124498,8.888888888888888e-06,260.0352075099945,0.2974440489990124,10.522354235211274,0.5
19,0.13732262544225957,,0.19843067817190377,2.190543258612854,0.0,0.2017271793120167,0.0468335417333471,0.3460748433827766,0.39751782643137834,8.148148148148148e-06,262.02384757995605,0.2798556386344675,10.539942645575819,0.5
20,0.1316895535674648,,0.19345589044634615,2.2482647429033342,0.0,0.18002330714731501,0.04223331306208303,0.33178100779828035,0.4132418242240523,7.4074074074074075e-06,261.2471399307251,0.2640607663686725,10.555737517841614,0.5
21,0.12368532216203386,,0.208275003939824,2.0785373266136467,0.0,0.20535043559066243,0.04577136886518148,0.34710434877022284,0.44314886647305335,6.666666666666667e-06,259.59371161460876,0.24728086471989535,10.57251741949039,0.5
22,0.11573996087131293,,0.2136214749937765,1.9260377750920858,0.0,0.21347339024236883,0.048014715693714016,0.35764280705313006,0.4489764619796697,5.925925925925926e-06,253.58770751953125,0.23478218114030533,10.58501610306998,0.5
23,0.111745183504578,,0.21082201368403125,1.9231403587854545,0.0,0.20893466498134342,0.04743964322992159,0.363677427039163,0.4340583331697282,5.185185185185185e-06,255.60389518737793,0.2288162802224574,10.590982003987829,0.5
24,0.10485366731882095,,0.21898634842308082,1.9224523358029173,0.0,0.22900634956915705,0.04886284100858768,0.3679479704667927,0.4491145810708669,4.444444444444444e-06,263.67556595802307,0.2169855363343073,10.602812747875978,0.5
25,0.10395762216353761,,0.20115515819424115,1.8051034193346673,0.0,0.19362023031207007,0.04408387735255718,0.342496587567592,0.42557509573898644,3.7037037037037037e-06,256.2070143222809,0.2122226883319841,10.607575595878302,0.5
26,0.09920147385286249,,0.19706390340046204,1.6921048131112832,0.0,0.17211485396798404,0.040122034333051164,0.3410259993322979,0.43205662936897704,2.962962962962963e-06,255.09379363059998,0.2051535007962282,10.614644783414057,0.5
27,0.0976888442385024,,0.19752632290019476,1.7363722140522921,0.0,0.17211485396798404,0.040122034333051164,0.33956255531320056,0.43583217088673815,2.222222222222222e-06,260.75876545906067,0.19918834601623425,10.620609938194052,0.5
28,0.09614798880141714,,0.20677359594340192,1.6151923908169217,0.0,0.19101351802793842,0.04354270315506829,0.3555995031632741,0.4437122553707289,1.4814814814814815e-06,262.03947353363037,0.19767015805278998,10.622128126157495,0.5
29,0.09417892047676488,,0.20677359594340192,1.5840755937428568,0.0,0.19101351802793842,0.04354270315506829,0.3555995031632741,0.4437122553707289,7.407407407407407e-07,262.652131319046,0.1955870279799337,10.624211256230351,0.5
30,0.09146215431932089,,0.20671221268437073,1.5458022495075385,0.0,0.19101351802793842,0.04354270315506829,0.3554381119711984,0.4435667302676486,0.0,262.23022413253784,0.19138404230276743,10.62841424190752,0.5
